"";"ATIVO";"VALOR";"DATA"
"112";"ETER3";-1,47492625368733;2014-03-23
"113";"ETER3";1,49700598802396;2014-03-23
"114";"ETER3";7,05128205128205;2014-03-23
"115";"ETER3";-7,69230769230769;2014-03-23
"116";"ELET6";-1,77267987486965;2014-03-23
"117";"ELET6";-0,724637681159424;2014-03-23
"118";"ELET6";0,415800415800427;2014-03-23
"119";"ELET6";0;2014-03-23
"120";"ELET6";-3,8961038961039;2014-03-23
"121";"HGTX3";4,4776119402985;2014-03-23
"122";"HGTX3";1,90114068441065;2014-03-23
"123";"HGTX3";3,21821036106751;2014-03-23
"124";"HGTX3";-2,67379679144385;2014-03-23
"125";"HGTX3";-4,10256410256411;2014-03-23
"126";"VALE5";-0,53003533568905;2014-03-23
"127";"VALE5";-4,55311973018549;2014-03-23
"128";"VALE5";-0,503355704697983;2014-03-23
"129";"VALE5";-0,831946755407664;2014-03-23
"130";"VALE5";-2,64578833693304;2014-03-23
"131";"HBOR3";0;2014-03-23
"132";"HBOR3";-2,54545454545454;2014-03-23
"133";"HBOR3";-0,722021660649819;2014-03-23
"134";"HBOR3";1,09489051094889;2014-03-23
"135";"HBOR3";0;2014-03-23
"136";"ALUP11";-0,28441410693969;2014-03-26
"137";"ALUP11";1,61849710982658;2014-03-26
"138";"ALUP11";-2,4802705749718;2014-03-26
"139";"ALUP11";1,83696900114809;2014-03-26
"140";"ALUP11";-1,52628603730921;2014-03-26
"141";"TAEE11";-1,93740685543965;2014-03-26
"142";"TAEE11";0,149253731343268;2014-03-26
"143";"TAEE11";1,82370820668694;2014-03-26
"144";"TAEE11";0,560366785532351;2014-03-26
"145";"TAEE11";-1,30718954248367;2014-03-26
"146";"GRND3";0,224592925322864;2014-03-26
"147";"GRND3";-1,00055586436909;2014-03-26
"148";"GRND3";1,46644106034968;2014-03-26
"149";"GRND3";0,624290578887621;2014-03-26
"150";"GRND3";-1,8384401114206;2014-03-26
"151";"ITUB4";-1,40620854338021;2014-03-26
"152";"ITUB4";-2,66012396694215;2014-03-26
"153";"ITUB4";1,86792949223888;2014-03-26
"154";"ITUB4";0,982996811902215;2014-03-26
"155";"ITUB4";-0,686015831134557;2014-03-26
"156";"ETER3";-1,19760479041916;2014-03-26
"157";"ETER3";-1,47492625368733;2014-03-26
"158";"ETER3";1,49700598802396;2014-03-26
"159";"ETER3";7,05128205128205;2014-03-26
"160";"ETER3";-7,69230769230769;2014-03-26
"161";"ELET6";-1,77267987486965;2014-03-26
"162";"ELET6";-0,724637681159424;2014-03-26
"163";"ELET6";0,415800415800427;2014-03-26
"164";"ELET6";0;2014-03-26
"165";"ELET6";-3,8961038961039;2014-03-26
"166";"HGTX3";4,4776119402985;2014-03-26
"167";"HGTX3";1,90114068441065;2014-03-26
"168";"HGTX3";3,21821036106751;2014-03-26
"169";"HGTX3";-2,67379679144385;2014-03-26
"170";"HGTX3";-4,10256410256411;2014-03-26
"171";"VALE5";-0,53003533568905;2014-03-26
"172";"VALE5";-4,55311973018549;2014-03-26
"173";"VALE5";-0,503355704697983;2014-03-26
"174";"VALE5";-0,831946755407664;2014-03-26
"175";"VALE5";-2,64578833693304;2014-03-26
"176";"HBOR3";0;2014-03-26
"177";"HBOR3";-2,54545454545454;2014-03-26
"178";"HBOR3";-0,722021660649819;2014-03-26
"179";"HBOR3";1,09489051094889;2014-03-26
"180";"HBOR3";0;2014-03-26
"181";"ALUP11";-0,28441410693969;2014-03-27
"182";"ALUP11";1,61849710982658;2014-03-27
"183";"ALUP11";-2,4802705749718;2014-03-27
"184";"ALUP11";1,83696900114809;2014-03-27
"185";"ALUP11";-1,52628603730921;2014-03-27
"186";"TAEE11";-1,93740685543965;2014-03-27
"187";"TAEE11";0,149253731343268;2014-03-27
"188";"TAEE11";1,82370820668694;2014-03-27
"189";"TAEE11";0,560366785532351;2014-03-27
"190";"TAEE11";-1,30718954248367;2014-03-27
"191";"GRND3";0,224592925322864;2014-03-27
"192";"GRND3";-1,00055586436909;2014-03-27
"193";"GRND3";1,46644106034968;2014-03-27
"194";"GRND3";0,624290578887621;2014-03-27
"195";"GRND3";-1,8384401114206;2014-03-27
"196";"ITUB4";-1,40620854338021;2014-03-27
"197";"ITUB4";-2,66012396694215;2014-03-27
"198";"ITUB4";1,86792949223888;2014-03-27
"199";"ITUB4";0,982996811902215;2014-03-27
"200";"ITUB4";-0,686015831134557;2014-03-27
"201";"ETER3";-1,19760479041916;2014-03-27
"202";"ETER3";-1,47492625368733;2014-03-27
"203";"ETER3";1,49700598802396;2014-03-27
"204";"ETER3";7,05128205128205;2014-03-27
"205";"ETER3";-7,69230769230769;2014-03-27
"206";"ELET6";-1,77267987486965;2014-03-27
"207";"ELET6";-0,724637681159424;2014-03-27
"208";"ELET6";0,415800415800427;2014-03-27
"209";"ELET6";0;2014-03-27
"210";"ELET6";-3,8961038961039;2014-03-27
"211";"HGTX3";4,4776119402985;2014-03-27
"212";"HGTX3";1,90114068441065;2014-03-27
"213";"HGTX3";3,21821036106751;2014-03-27
"214";"HGTX3";-2,67379679144385;2014-03-27
"215";"HGTX3";-4,10256410256411;2014-03-27
"216";"VALE5";-0,53003533568905;2014-03-27
"217";"VALE5";-4,55311973018549;2014-03-27
"218";"VALE5";-0,503355704697983;2014-03-27
"219";"VALE5";-0,831946755407664;2014-03-27
"220";"VALE5";-2,64578833693304;2014-03-27
"221";"HBOR3";0;2014-03-27
"222";"HBOR3";-2,54545454545454;2014-03-27
"223";"HBOR3";-0,722021660649819;2014-03-27
"224";"HBOR3";1,09489051094889;2014-03-27
"225";"HBOR3";0;2014-03-27
"226";"ALUP11";-0,28441410693969;2014-03-28
"227";"ALUP11";1,61849710982658;2014-03-28
"228";"ALUP11";-2,4802705749718;2014-03-28
"229";"ALUP11";1,83696900114809;2014-03-28
"230";"ALUP11";-1,52628603730921;2014-03-28
"231";"TAEE11";-1,93740685543965;2014-03-28
"232";"TAEE11";0,149253731343268;2014-03-28
"233";"TAEE11";1,82370820668694;2014-03-28
"234";"TAEE11";0,560366785532351;2014-03-28
